(Bathurst Street Terminal) Airport Tunnel, Toronto, Ontario, M5V 1A1
(Randolph Theatre) 736 Bathurst Street, Toronto, Ontario, M5S 2R4
(West End Alternative School) Montrose Avenue, Toronto, Ontario, M6G 1L6
(Korean Senior Citizens Centre) Grace Street, Toronto, Ontario, M6E 4A1
(City Hall Parking) Chestnut Street, Toronto, Ontario, M5G 1R3
(Burger King) 267 College Street, Toronto, Ontario, M5T 3A1
(McDonald's) 275 Dundas Street West, Toronto, Ontario, M5T 1W2
(TD Canada Trust) 481 Centre Avenue, Toronto, Ontario, M5G 1R5
(RBC) 443 University Avenue, Toronto, Ontario, M5G 1E6
(Cornerstone Preparatory School) Baldwin Street, Toronto, Ontario, M5T 1L1
(Chinese Presbyterian Church) Baldwin Street, Toronto, Ontario, M5T 1L1
(Subway) Danforth Avenue, Toronto, Ontario, M4K 1N1
(City Pharmacy) Danforth Avenue, Toronto, Ontario, M4K 1N1
(I.D.A.) Danforth Avenue, Toronto, Ontario, M4K 1N1
(Second Cup) Hampton Avenue, Toronto, Ontario, M4K 1N8
(RBC) 698 Pape Avenue, Toronto, Ontario, M4K 1R3
(National Bank) 631 Danforth Avenue, Toronto, Ontario, M4K 1P6
(Starbucks) 155 John Street, Toronto, Ontario, M5T 1X4
(Pizza Pizza) 228 Queen Street West, Toronto, Ontario, M5V 2A4
(City Hall Parking) PATH, Toronto, Ontario, M5H 2N2
(CIBC) 205 Queen Street West, Toronto, Ontario, M5V 1Z4
(TD Canada Trust) PATH, Toronto, Ontario, M5H 1W2
(St. Volodymir Ukrainian Orthodox Cathedral) 400 Bathurst Street, Toronto, Ontario, M5T 2S6
(Tim Hortons) Dundas Street West, Toronto, Ontario, M6J 1T9
(McDonald's) 344 Bathurst Street, Toronto, Ontario, M6L 1T8
(Shoppers Drug Mart) 399 Bathurst Street, Toronto, Ontario, M5T 2S8
(Toronto Public Library - Sanderson) 327 Bathurst Street, Toronto, Ontario, M6L 1T8
(Hanlan's Point) Lakeshore Avenue, Toronto, Ontario, M5V 1A1
(Petro-Canada) 55 Spadina Avenue, Toronto, Ontario, M5V 2J2
(Shell) 38 Spadina Avenue, Toronto, Ontario, M5V 2H8
(Tim Hortons) Blue Jays Way, Toronto, Ontario, M5V 3H2
(Starbucks) Mercer Street, Toronto, Ontario, M5V 1J5
(Piccadilly Circus) Pearl Street, Toronto, Ontario, M5H 3G8
(Toronto Eaton Centre - Yonge Parkade) Eaton Centre level 2, Toronto, Ontario, M5B 2H6
(Petro-Canada) Finch Avenue West, Toronto, Ontario, M3N 1N3
(Pizza Pizza) Spadina Road, Toronto, Ontario, M5R 2S9
(Grad House Underground Parking) Russell Street, Toronto, Ontario, M5S 2K2
(Esso) 150 Dupont Street, Toronto, Ontario, M5R 2E6
(Subway) Davenport Road, Toronto, Ontario, M2R 1K5
(TD Canada Trust) 165 Avenue Road, Toronto, Ontario, M5R 2H6
(Madison Pub) Madison Avenue, Toronto, Ontario, M5S 1W5
(Canadian Tire) Church Street, Toronto, Ontario, M4W 2G8
(Subway) 932 Yonge Street, Toronto, Ontario, M4Y 2H2
(Tim Hortons) 246 Bloor Street West, Toronto, Ontario, M5S 1V4
(Starbucks) 129 Yorkville Avenue, Toronto, Ontario, M5R 1B9
(The Stone Church) 45 Davenport Road, Toronto, Ontario, M4W 0A4
(Starbucks) Cumberland Street, Toronto, Ontario, M5R 2B1
(Pizza Pizza) 558 Bloor Street West, Toronto, Ontario, M6G 1K1
(CIBC) 532 Bloor Street West, Toronto, Ontario, M5S 1Y3
(TD Canada Trust) 572 Bloor Street West, Toronto, Ontario, M6G 1K5
(East of Brunswick Pub and Kitchen) 732 Spadina Avenue, Toronto, Ontario, M5S 2J2
(Pharmasave) 720 Spadina Avenue, Toronto, Ontario, M5S 2J2
(Living Water Assembly) 778 Ossington Avenue, Toronto, Ontario, M6G 3V5
(Ali Baba's) Bloor Street West, Toronto, Ontario, M6G 1M4
